1971148|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003593|20191231|급전선/콘넥터|1000063379|5G 커넥터,7/8" DIN-MA(주름)|5G 커넥터,7/8" DIN-MA(주름)|100|EA|6800|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971158|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003603|20191231|공중선|1000063400|5G 분배기,(인빌딩) 5G 3N-300W-U(2:1:1)|5G 분배기,(인빌딩) 5G 3N-300W-U(2:1:1)|10|EA|45200|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971142|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003587|20191231|공중선|1000063345|5G 대역결합기,2X2 (기존대역+5G)|5G 대역결합기,2X2 (기존대역+5G)|90|EA|126000|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971143|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003588|20191231|급전선/콘넥터|1000063374|5G 커넥터,AL 2/5" N-MA(비주름)|5G 커넥터,AL 2/5" N-MA(비주름)|1000|EA|3300|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971144|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003589|20191231|급전선/콘넥터|1000063375|5G 커넥터,AL 1/2" N-MA(비주름)|5G 커넥터,AL 1/2" N-MA(비주름)|600|EA|3900|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971150|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003595|20191231|공중선|1000063391|5G 분배기,(인빌딩) 5G 2N-150W(7:3)|5G 분배기,(인빌딩) 5G 2N-150W(7:3)|280|EA|33500|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971157|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003602|20191231|공중선|1000063399|5G 분배기,(인빌딩) 5G 3N-300W-U(1:1:1)|5G 분배기,(인빌딩) 5G 3N-300W-U(1:1:1)|10|EA|45600|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971139|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003584|20191231|공중선|1000029101|분배기,BPD-2D-73-200,기지국용분배기,BPD-2D-73-200,4중대역|분배기,BPD-2D-73-200,기지국용분배기,BPD-2D-73-200,4중대역|200|EA|14800|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971145|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003590|20191231|급전선/콘넥터|1000063376|5G 커넥터,1/2" N-MA(주름)|5G 커넥터,1/2" N-MA(주름)|3000|EA|3700|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
1971152|4260121444||RV|3160058802|19년 부대 A망 시설투자 단가계약2_분결커(납기4주)|179655500|20191114|20190125|20191231|이상신|중부Infra구축팀|00004018||||1003597|20191231|공중선|1000063393|5G 분배기,(인빌딩) 5G 2N-300W-U(1:1)|5G 분배기,(인빌딩) 5G 2N-300W-U(1:1)|70|EA|32400|2020-02-03 10:11:58|DEL||2020-02-03 10:11:38
